t_index	term	df
1156	birth	9
1157	birthday	6
1158	birthmark	1
1159	birthplac	1
1160	biscuit	3
1161	bishop	2
1162	bit	46
1163	bite	2
1164	bitka	1
1165	bitten	1
1166	bitter	19
1167	bitterli	10
1168	bittersweet	2
1169	bizarr	10
1170	bjorn	1
1171	black	57
1172	blackclad	1
1173	blacken	4
1174	blackmail	5
1175	blackout	4
1176	blackrob	3
1177	blackti	2
1178	blade	1
1179	blair	15
1180	blakemor	1
1181	blame	56
1182	blanchard	1
1183	blanco	7
1184	bland	1
1185	blanda	1
1186	blank	2
1187	blanket	35
1188	blankli	2
1189	blare	1
1190	blast	109
1191	blatant	2
1192	blaze	6
1193	bleach	1
1194	bleachblond	1
1195	bleacher	1
1196	bleak	1
1197	bled	1
1198	bleed	2
1199	blemish	1
1200	blend	4
1201	bless	9
1202	blew	41
1203	blewup	1
1204	blind	8
1205	blindli	5
1206	blink	3
1207	blister	2
1208	blitz	1
1209	blitzer	1
1210	blizzard	5
1211	bloat	4
1212	bloc	7
1213	block	83
1214	blockad	15
1215	blocker	1
1216	blocki	1
1217	blokosso	1
1218	blond	4
1219	blondhair	1
1220	blood	31
1221	bloodbath	2
1222	bloodchil	2
1223	bloodi	8
1224	bloodiest	1
1225	bloodless	2
1226	bloodsh	9
1227	bloodspatt	1
1228	bloodsplatt	1
1229	bloodstain	1
1230	bloomberg	1
1231	bloomer	1
1232	blous	1
1233	blow	25
1234	blown	11
1235	blowtorch	1
1236	blue	43
1237	blueprint	11
1238	bluewat	1
1239	bluf	5
1240	blunk	1
1241	blunt	2
1242	bluntli	2
1243	blur	2
1244	blurb	1
1245	blusteri	1
1246	blvd	1
1247	bnai	1
1248	board	62
1249	boarder	5
1250	boardwalk	1
1251	boast	3
1252	boat	117
1253	boater	1
1254	boatmen	1
1255	bob	24
1256	bobbi	6
1257	bobic	1
1258	bodi	188
1259	bodien	1
1260	bodin	9
1261	bodon	1
1262	bodyguard	10
1263	bodyhunt	3
1264	boe	2
1265	bog	2
1266	boga	1
1267	bogg	1
1268	bogu	4
1269	bohdan	2
1270	boil	1
1271	boister	1
1272	bojic	1
1273	bold	3
1274	boldli	1
1275	bolivia	1
1276	bolona	2
1277	bolster	12
1278	bolt	1
1279	bomb	255
1280	bombard	2
1281	bombay	5
1282	bombdamag	1
1283	bomber	57
1284	bombet	2
1285	bombey	1
1286	bombladen	2
1287	bombmak	15
1288	bombshel	1
1289	bond	17
1290	bone	52
1291	bonecardi	1
1292	boneweari	1
1293	bonfir	3
1294	bonilla	1
1295	bonni	1
1296	bono	1
1297	bonu	1
1298	boo	3
1299	boobytrap	3
1300	book	26
1301	bookend	1
1302	boom	7
1303	boost	14
1304	booster	1
1305	boot	4
1306	bootbrush	1
1307	booth	8
1308	bor	1
1309	border	53
1310	bore	3
1311	borg	1
1312	bori	7
1313	borisav	1
1314	borislav	3
1315	borisov	1
1316	borivoj	1
1317	bork	1
1318	borka	1
1319	born	38
1320	bornagain	1
1321	borneo	4
1322	borotra	1
1323	borrow	2
1324	borzon	1
1325	bosnia	13
1326	bosniaherzegovina	3
1327	bosnian	5
1328	boss	10
1329	boston	17
1330	bostoni	1
1331	botch	5
1332	bother	9
1333	bottl	5
1334	bottom	27
1335	bouak	1
1336	boucher	8
1337	bouffard	1
1338	bought	10
1339	boulevard	1
1340	bounc	7
1341	bound	14
1342	boundari	2
1343	bounti	1
1344	bow	11
1345	bowel	2
1346	bowen	2
1347	bowl	1
1348	bowman	1
1349	bowmen	1
1350	bowrey	1
1351	box	17
1352	boxer	1
1353	boy	35
1354	boycot	26
1355	boycott	18
1356	boyd	1
1357	boyfriend	4
1358	bozov	3
1359	braca	2
1360	brace	4
1361	braci	1
1362	bracket	1
1363	brad	6
1364	bradi	1
1365	bradman	1
1366	bradshaw	1
1367	brag	4
1368	brain	2
1369	brainwash	3
1370	brake	1
1371	branch	9
1372	brand	6
1373	brandish	6
1374	brandon	1
1375	brash	2
1376	brass	4
1377	brave	6
1378	bravent	1
1379	braveri	2
1380	bravo	4
1381	brazen	1
